setting,value,source_file,line,function_or_context,evidence_label
temperature,0.0,04_pipeline/archive_submission/systems_bda2026_submission.py,80,_call_ollama options,HISTORICALLY RECORDED (submitted experiment code)
num_predict,512,04_pipeline/archive_submission/systems_bda2026_submission.py,80,_call_ollama options,HISTORICALLY RECORDED (submitted experiment code)
num_ctx,"8192 (env OLLAMA_NUM_CTX, default 8192)",04_pipeline/archive_submission/systems_bda2026_submission.py,81,_call_ollama options,HISTORICALLY RECORDED (submitted experiment code)
stream,False,04_pipeline/archive_submission/systems_bda2026_submission.py,77,_call_ollama payload,HISTORICALLY RECORDED (submitted experiment code)
think,False,04_pipeline/archive_submission/systems_bda2026_submission.py,78,_call_ollama payload,HISTORICALLY RECORDED (submitted experiment code)
keep_alive,"""30m"" (env OLLAMA_KEEP_ALIVE, default 30m)",04_pipeline/archive_submission/systems_bda2026_submission.py,79,_call_ollama payload,HISTORICALLY RECORDED (submitted experiment code)
timeout,60 s default (env OLLAMA_TIMEOUT); 120 s demonstrably used for qwen2.5:72b (eval_error strings in results_full.jsonl),04_pipeline/archive_submission/systems_bda2026_submission.py,"53, 89",OLLAMA_TIMEOUT / requests.post,HISTORICALLY RECORDED (submitted experiment code)
retries,"2 (OLLAMA_RETRIES), 1 s sleep between attempts",04_pipeline/archive_submission/systems_bda2026_submission.py,"54, 83-99",_call_ollama retry loop,HISTORICALLY RECORDED (submitted experiment code)
seed,NOT EXPLICITLY SET,04_pipeline/archive_submission/systems_bda2026_submission.py,80-81,absent from options dict,HISTORICALLY RECORDED (submitted experiment code)
top_p,NOT EXPLICITLY SET,04_pipeline/archive_submission/systems_bda2026_submission.py,80-81,absent from options dict,HISTORICALLY RECORDED (submitted experiment code)
top_k,NOT EXPLICITLY SET,04_pipeline/archive_submission/systems_bda2026_submission.py,80-81,absent from options dict,HISTORICALLY RECORDED (submitted experiment code)
repetition penalty (repeat_penalty),NOT EXPLICITLY SET,04_pipeline/archive_submission/systems_bda2026_submission.py,80-81,absent from options dict,HISTORICALLY RECORDED (submitted experiment code)
stop sequences,NOT EXPLICITLY SET by the experiment code (models carry their own template stop tokens in their Modelfile; CURRENT/EXTERNAL DEFAULT),04_pipeline/archive_submission/systems_bda2026_submission.py,80-81,absent from options dict,HISTORICALLY RECORDED (submitted experiment code)
endpoint,POST http://localhost:11434/api/generate,04_pipeline/archive_submission/systems_bda2026_submission.py,"50, 87",_call_ollama,HISTORICALLY RECORDED (submitted experiment code)
