query_id,category,strict_reference_cypher,relaxed_reference_cypher
q043,aggregate,"MATCH (l:Location {prefecture_en:'Akita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2024}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Akita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2024}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q044,aggregate,"MATCH (l:Location {prefecture_en:'Kumamoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2022}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Kumamoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2022}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q045,aggregate,"MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2021}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2021}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q046,aggregate,"MATCH (l:Location {prefecture_en:'Oita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2019}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Oita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2019}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q048,aggregate,"MATCH (l:Location {prefecture_en:'Shimane Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Shimane Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q049,aggregate,"MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q050,aggregate,"MATCH (l:Location {prefecture_en:'Mie Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2025}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Mie Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2025}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q051,aggregate,"MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q052,aggregate,"MATCH (l:Location {prefecture_en:'Yamaguchi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2022}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Yamaguchi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2022}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q053,aggregate,"MATCH (l:Location {prefecture_en:'Shiga Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2021}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Shiga Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2021}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q055,aggregate,"MATCH (l:Location {prefecture_en:'Mie Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2021}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Mie Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2021}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q056,aggregate,"MATCH (l:Location {prefecture_en:'Saitama Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2019}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Saitama Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2019}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q057,aggregate,"MATCH (l:Location {prefecture_en:'Fukuoka Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2024}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Fukuoka Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2024}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q059,aggregate,"MATCH (l:Location {prefecture_en:'Kyoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2018}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Kyoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2018}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q060,aggregate,"MATCH (l:Location {prefecture_en:'Oita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2025}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Oita Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2025}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q061,aggregate,"MATCH (l:Location {prefecture_en:'Okinawa Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2018}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Okinawa Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2018}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q062,aggregate,"MATCH (l:Location {prefecture_en:'Osaka Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Osaka Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q063,aggregate,"MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2022}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2022}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q064,aggregate,"MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2021}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2021}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q068,aggregate,"MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2021}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Nagasaki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2021}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q070,aggregate,"MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2022}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Spring',year:2022}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q071,aggregate,"MATCH (l:Location {prefecture_en:'Iwate Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Iwate Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q073,aggregate,"MATCH (l:Location {prefecture_en:'Saga Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2020}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Saga Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2020}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q074,aggregate,"MATCH (l:Location {prefecture_en:'Kanagawa Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Kanagawa Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q075,aggregate,"MATCH (l:Location {prefecture_en:'Aichi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Aichi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
